,Age,Education,Income,Occupation,Settlement size,Sex_Female,Sex_Male,Marital status_Married,Marital status_Single,cluster
0,67,2.0,124670,1.0,2.0,0.0,1.0,0.0,1.0,3
1,22,1.0,150773,1.0,2.0,1.0,0.0,1.0,0.0,1
2,49,1.0,89210,0.0,0.0,0.0,1.0,0.0,1.0,0
3,45,1.0,171565,1.0,1.0,0.0,1.0,0.0,1.0,3
4,53,1.0,149031,1.0,1.0,0.0,1.0,0.0,1.0,3
5,35,1.0,144848,0.0,0.0,0.0,1.0,0.0,1.0,0
6,53,1.0,156495,1.0,1.0,0.0,1.0,0.0,1.0,3
7,35,1.0,193621,2.0,1.0,0.0,1.0,0.0,1.0,3
8,61,2.0,151591,0.0,0.0,0.0,1.0,1.0,0.0,6
9,28,1.0,174646,2.0,0.0,0.0,1.0,1.0,0.0,4
10,25,1.0,108469,1.0,0.0,1.0,0.0,1.0,0.0,1
11,24,1.0,127596,1.0,0.0,1.0,0.0,1.0,0.0,1
12,22,1.0,108687,1.0,2.0,1.0,0.0,1.0,0.0,1
13,60,2.0,89374,0.0,0.0,0.0,1.0,0.0,1.0,0
14,28,1.0,102899,1.0,1.0,1.0,0.0,1.0,0.0,1
15,32,1.0,88428,0.0,0.0,1.0,0.0,1.0,0.0,1
16,53,1.0,125550,1.0,0.0,0.0,1.0,0.0,1.0,0
17,25,0.0,157434,1.0,2.0,0.0,1.0,0.0,1.0,3
18,44,2.0,261952,2.0,2.0,1.0,0.0,1.0,0.0,2
19,31,0.0,144657,1.0,1.0,0.0,1.0,0.0,1.0,3
20,48,1.0,118777,1.0,1.0,0.0,1.0,0.0,1.0,3
21,44,1.0,147511,1.0,1.0,0.0,1.0,0.0,1.0,3
22,48,1.0,89804,0.0,0.0,0.0,1.0,0.0,1.0,0
23,44,1.0,134918,1.0,2.0,0.0,1.0,0.0,1.0,3
24,26,1.0,103667,1.0,2.0,0.0,1.0,1.0,0.0,4
25,36,1.0,71909,0.0,0.0,0.0,1.0,0.0,1.0,0
26,39,1.0,68264,0.0,0.0,0.0,1.0,1.0,0.0,4
27,42,2.0,163025,1.0,1.0,1.0,0.0,1.0,0.0,2
28,34,1.0,119307,1.0,1.0,0.0,1.0,0.0,1.0,3
29,63,2.0,175882,1.0,0.0,0.0,1.0,0.0,1.0,3
30,36,1.0,159646,1.0,1.0,0.0,1.0,1.0,0.0,4
31,27,0.0,120131,1.0,1.0,0.0,1.0,0.0,1.0,0
32,30,0.0,162745,1.0,2.0,0.0,1.0,0.0,1.0,3
33,57,2.0,87605,0.0,0.0,0.0,1.0,0.0,1.0,0
34,33,1.0,155569,2.0,1.0,1.0,0.0,1.0,0.0,2
35,25,0.0,104505,0.0,0.0,0.0,1.0,0.0,1.0,0
36,31,0.0,143385,1.0,2.0,0.0,1.0,0.0,1.0,3
37,37,1.0,127676,1.0,1.0,0.0,1.0,0.0,1.0,3
38,37,1.0,119276,1.0,1.0,0.0,1.0,0.0,1.0,3
39,24,0.0,92542,1.0,1.0,0.0,1.0,0.0,1.0,0
40,30,0.0,163329,2.0,1.0,0.0,1.0,0.0,1.0,3
41,26,1.0,130921,1.0,0.0,0.0,1.0,1.0,0.0,4
42,44,1.0,133658,0.0,0.0,0.0,1.0,0.0,1.0,0
43,24,1.0,155104,1.0,1.0,0.0,1.0,1.0,0.0,4
44,58,2.0,142335,0.0,1.0,1.0,0.0,1.0,0.0,6
45,35,1.0,138387,2.0,1.0,1.0,0.0,1.0,0.0,1
46,39,1.0,140182,1.0,0.0,0.0,1.0,0.0,1.0,0
47,23,1.0,65421,0.0,0.0,1.0,0.0,1.0,0.0,1
48,39,1.0,130500,0.0,0.0,0.0,1.0,0.0,1.0,0
49,28,1.0,122831,1.0,0.0,1.0,0.0,1.0,0.0,1
50,29,0.0,84531,0.0,0.0,0.0,1.0,0.0,1.0,0
51,30,0.0,180196,2.0,2.0,0.0,1.0,0.0,1.0,3
52,25,0.0,92058,1.0,2.0,0.0,1.0,0.0,1.0,3
53,31,0.0,117158,1.0,0.0,0.0,1.0,0.0,1.0,0
54,57,2.0,135830,1.0,1.0,0.0,1.0,0.0,1.0,3
55,26,0.0,58258,0.0,0.0,0.0,1.0,0.0,1.0,0
56,52,1.0,202575,2.0,2.0,0.0,1.0,0.0,1.0,3
57,31,1.0,183657,1.0,1.0,1.0,0.0,1.0,0.0,1
58,23,1.0,152267,2.0,1.0,1.0,0.0,1.0,0.0,1
59,23,1.0,115240,0.0,0.0,1.0,0.0,1.0,0.0,1
60,27,1.0,106955,1.0,2.0,0.0,1.0,1.0,0.0,4
61,50,1.0,123641,1.0,1.0,0.0,1.0,0.0,1.0,3
62,61,2.0,166410,2.0,1.0,0.0,1.0,0.0,1.0,3
63,25,0.0,227385,1.0,2.0,0.0,1.0,0.0,1.0,3
64,26,1.0,118372,1.0,1.0,1.0,0.0,1.0,0.0,1
65,48,1.0,148115,1.0,1.0,0.0,1.0,0.0,1.0,3
66,29,1.0,111069,1.0,0.0,1.0,0.0,1.0,0.0,1
67,22,1.0,139780,1.0,0.0,0.0,1.0,1.0,0.0,4
68,37,1.0,106978,1.0,2.0,0.0,1.0,0.0,1.0,3
69,25,1.0,110019,1.0,2.0,1.0,0.0,1.0,0.0,1
70,30,1.0,169102,1.0,1.0,1.0,0.0,1.0,0.0,1
71,46,1.0,73703,0.0,0.0,0.0,1.0,0.0,1.0,0
72,51,1.0,141858,2.0,2.0,0.0,1.0,0.0,1.0,3
73,41,2.0,135959,0.0,0.0,1.0,0.0,1.0,0.0,6
74,40,1.0,140888,2.0,2.0,0.0,1.0,0.0,1.0,3
75,66,2.0,157299,2.0,2.0,0.0,1.0,0.0,1.0,3
76,34,1.0,125187,1.0,1.0,0.0,1.0,0.0,1.0,3
77,51,1.0,155486,1.0,2.0,0.0,1.0,0.0,1.0,3
78,39,1.0,151697,0.0,0.0,0.0,1.0,0.0,1.0,0
79,22,1.0,126400,1.0,1.0,0.0,1.0,1.0,0.0,4
80,44,2.0,159246,1.0,2.0,1.0,0.0,1.0,0.0,2
81,47,1.0,136138,1.0,1.0,0.0,1.0,0.0,1.0,3
82,24,1.0,84792,0.0,0.0,1.0,0.0,1.0,0.0,1
83,58,2.0,100210,0.0,0.0,1.0,0.0,1.0,0.0,6
84,52,1.0,93706,0.0,0.0,0.0,1.0,0.0,1.0,0
85,29,1.0,133783,2.0,1.0,1.0,0.0,1.0,0.0,1
86,27,1.0,110064,1.0,2.0,1.0,0.0,1.0,0.0,1
87,47,1.0,241068,1.0,1.0,0.0,1.0,0.0,1.0,3
88,30,0.0,149022,2.0,2.0,0.0,1.0,0.0,1.0,3
89,28,0.0,92973,1.0,2.0,0.0,1.0,0.0,1.0,3
90,56,1.0,110605,1.0,1.0,0.0,1.0,0.0,1.0,3
91,54,1.0,116604,1.0,1.0,0.0,1.0,0.0,1.0,3
92,33,1.0,71070,0.0,0.0,1.0,0.0,1.0,0.0,1
93,20,0.0,128678,1.0,1.0,0.0,1.0,0.0,1.0,0
94,54,1.0,165230,1.0,2.0,0.0,1.0,0.0,1.0,3
95,58,2.0,268340,1.0,1.0,0.0,1.0,0.0,1.0,3
96,61,2.0,135070,1.0,1.0,1.0,0.0,1.0,0.0,6
97,34,1.0,134794,1.0,2.0,0.0,1.0,0.0,1.0,3
98,36,1.0,120153,1.0,1.0,0.0,1.0,0.0,1.0,3
99,36,1.0,195465,2.0,2.0,0.0,1.0,0.0,1.0,3
100,41,1.0,93372,0.0,0.0,0.0,1.0,1.0,0.0,4
101,24,0.0,110446,1.0,0.0,0.0,1.0,0.0,1.0,0
102,24,1.0,95186,1.0,1.0,1.0,0.0,1.0,0.0,1
103,35,1.0,115343,1.0,1.0,0.0,1.0,0.0,1.0,3
104,26,1.0,107276,1.0,1.0,0.0,1.0,1.0,0.0,4
105,39,1.0,244716,2.0,2.0,0.0,1.0,0.0,1.0,3
106,39,1.0,183108,2.0,2.0,0.0,1.0,0.0,1.0,3
107,32,0.0,152876,1.0,2.0,0.0,1.0,0.0,1.0,3
108,30,1.0,165147,1.0,0.0,1.0,0.0,1.0,0.0,1
109,35,1.0,140520,1.0,0.0,0.0,1.0,1.0,0.0,4
110,31,1.0,124203,1.0,1.0,0.0,1.0,1.0,0.0,4
111,23,1.0,107205,1.0,1.0,1.0,0.0,1.0,0.0,1
112,28,0.0,121432,0.0,2.0,0.0,1.0,0.0,1.0,0
113,25,1.0,162445,1.0,0.0,1.0,0.0,1.0,0.0,1
114,35,1.0,134112,1.0,1.0,0.0,1.0,1.0,0.0,4
115,47,1.0,131842,1.0,1.0,0.0,1.0,0.0,1.0,3
116,30,1.0,189896,2.0,0.0,1.0,0.0,1.0,0.0,1
117,27,1.0,109099,1.0,2.0,1.0,0.0,1.0,0.0,1
118,23,1.0,153539,1.0,1.0,1.0,0.0,1.0,0.0,1
119,36,1.0,180495,2.0,1.0,0.0,1.0,1.0,0.0,4
120,25,1.0,104653,1.0,2.0,1.0,0.0,1.0,0.0,1
121,41,2.0,166933,2.0,2.0,1.0,0.0,1.0,0.0,2
122,24,0.0,66118,0.0,0.0,0.0,1.0,0.0,1.0,0
123,63,2.0,135754,1.0,0.0,0.0,1.0,0.0,1.0,3
124,27,1.0,116103,1.0,2.0,1.0,0.0,1.0,0.0,1
125,30,0.0,104293,1.0,1.0,0.0,1.0,0.0,1.0,0
126,40,1.0,71702,0.0,0.0,0.0,1.0,1.0,0.0,4
127,30,0.0,99066,1.0,2.0,0.0,1.0,0.0,1.0,3
128,34,1.0,143979,2.0,2.0,0.0,1.0,0.0,1.0,3
129,29,1.0,123818,1.0,0.0,1.0,0.0,1.0,0.0,1
130,24,1.0,176714,1.0,2.0,1.0,0.0,1.0,0.0,1
131,29,0.0,149249,1.0,2.0,0.0,1.0,0.0,1.0,3
132,27,0.0,77535,0.0,0.0,0.0,1.0,0.0,1.0,0
133,47,1.0,116540,1.0,1.0,0.0,1.0,0.0,1.0,3
134,21,1.0,194728,1.0,0.0,1.0,0.0,1.0,0.0,1
135,38,1.0,109311,1.0,2.0,1.0,0.0,1.0,0.0,1
136,27,0.0,204723,1.0,2.0,0.0,1.0,0.0,1.0,3
137,66,2.0,126003,0.0,0.0,0.0,1.0,0.0,1.0,0
138,35,1.0,123109,1.0,1.0,0.0,1.0,0.0,1.0,3
139,44,2.0,108251,0.0,0.0,1.0,0.0,1.0,0.0,6
140,27,1.0,89908,0.0,0.0,0.0,1.0,1.0,0.0,4
141,30,1.0,176057,2.0,1.0,1.0,0.0,1.0,0.0,2
142,27,0.0,144332,2.0,2.0,0.0,1.0,0.0,1.0,3
143,22,0.0,101185,1.0,1.0,0.0,1.0,0.0,1.0,0
144,23,1.0,107406,1.0,2.0,1.0,0.0,1.0,0.0,1
145,30,0.0,140665,1.0,1.0,0.0,1.0,0.0,1.0,0
146,39,2.0,106461,1.0,0.0,1.0,0.0,1.0,0.0,6
147,51,2.0,127825,1.0,0.0,1.0,0.0,1.0,0.0,6
148,28,0.0,133898,1.0,1.0,0.0,1.0,0.0,1.0,0
149,46,1.0,152383,1.0,2.0,0.0,1.0,0.0,1.0,3
150,42,1.0,119926,1.0,0.0,0.0,1.0,0.0,1.0,0
151,38,1.0,108784,1.0,2.0,0.0,1.0,0.0,1.0,3
152,24,0.0,153286,1.0,1.0,0.0,1.0,0.0,1.0,3
153,29,1.0,214204,1.0,2.0,1.0,0.0,1.0,0.0,2
154,36,1.0,208101,2.0,2.0,0.0,1.0,0.0,1.0,3
155,20,1.0,95355,1.0,1.0,1.0,0.0,1.0,0.0,1
156,48,1.0,124156,1.0,1.0,0.0,1.0,0.0,1.0,3
157,45,2.0,72215,0.0,0.0,0.0,1.0,1.0,0.0,4
158,38,1.0,146529,1.0,2.0,0.0,1.0,0.0,1.0,3
159,34,1.0,75343,0.0,0.0,0.0,1.0,0.0,1.0,0
160,36,1.0,129789,1.0,1.0,0.0,1.0,0.0,1.0,3
161,30,1.0,101153,1.0,1.0,1.0,0.0,1.0,0.0,1
162,36,1.0,127833,1.0,2.0,0.0,1.0,0.0,1.0,3
163,70,2.0,224998,2.0,2.0,0.0,1.0,0.0,1.0,3
164,36,1.0,124445,1.0,2.0,0.0,1.0,0.0,1.0,3
165,32,0.0,141116,1.0,1.0,0.0,1.0,0.0,1.0,3
166,33,1.0,104276,1.0,2.0,1.0,0.0,1.0,0.0,1
167,20,1.0,147687,1.0,2.0,1.0,0.0,1.0,0.0,1
168,25,1.0,125168,1.0,1.0,1.0,0.0,1.0,0.0,1
169,31,1.0,115369,1.0,2.0,0.0,1.0,1.0,0.0,4
170,33,1.0,95445,1.0,0.0,0.0,1.0,0.0,1.0,0
171,26,1.0,95159,1.0,1.0,1.0,0.0,1.0,0.0,1
172,34,1.0,153031,2.0,2.0,1.0,0.0,1.0,0.0,2
173,33,1.0,108899,1.0,0.0,0.0,1.0,0.0,1.0,0
174,26,0.0,113515,1.0,1.0,0.0,1.0,0.0,1.0,0
175,53,2.0,211229,2.0,0.0,1.0,0.0,1.0,0.0,2
176,42,2.0,121307,1.0,0.0,0.0,1.0,1.0,0.0,4
177,52,1.0,131727,1.0,2.0,0.0,1.0,0.0,1.0,3
178,31,0.0,133574,2.0,1.0,0.0,1.0,0.0,1.0,3
179,65,2.0,117334,1.0,0.0,0.0,1.0,0.0,1.0,3
180,28,1.0,177291,1.0,2.0,0.0,1.0,1.0,0.0,4
181,30,1.0,168763,2.0,1.0,0.0,1.0,1.0,0.0,4
182,40,1.0,77720,0.0,0.0,0.0,1.0,0.0,1.0,0
183,50,1.0,176645,1.0,2.0,0.0,1.0,0.0,1.0,3
184,36,1.0,106205,1.0,1.0,0.0,1.0,0.0,1.0,0
185,31,0.0,97785,1.0,1.0,0.0,1.0,0.0,1.0,0
186,74,3.0,214364,2.0,1.0,1.0,0.0,1.0,0.0,2
187,68,2.0,74525,0.0,0.0,0.0,1.0,0.0,1.0,0
188,20,1.0,98988,1.0,0.0,0.0,1.0,1.0,0.0,4
189,33,1.0,133561,1.0,1.0,1.0,0.0,1.0,0.0,1
190,54,1.0,217651,2.0,2.0,0.0,1.0,0.0,1.0,3
191,34,1.0,116525,0.0,0.0,0.0,1.0,0.0,1.0,0
192,36,1.0,135302,1.0,2.0,0.0,1.0,0.0,1.0,3
193,29,1.0,106434,1.0,1.0,0.0,1.0,1.0,0.0,4
194,21,0.0,128350,1.0,2.0,0.0,1.0,0.0,1.0,3
195,34,1.0,147626,2.0,2.0,1.0,0.0,1.0,0.0,2
196,28,1.0,102697,1.0,0.0,1.0,0.0,1.0,0.0,1
197,27,1.0,120262,1.0,0.0,1.0,0.0,1.0,0.0,1
198,36,1.0,124214,1.0,2.0,0.0,1.0,0.0,1.0,3
199,40,1.0,175223,2.0,1.0,0.0,1.0,1.0,0.0,4
200,52,1.0,137467,1.0,0.0,0.0,1.0,0.0,1.0,0
201,27,1.0,65815,0.0,0.0,0.0,1.0,1.0,0.0,4
202,26,0.0,129864,1.0,1.0,0.0,1.0,0.0,1.0,0
203,21,1.0,88475,1.0,1.0,0.0,1.0,1.0,0.0,4
204,38,1.0,74666,0.0,0.0,0.0,1.0,0.0,1.0,0
205,38,1.0,222294,2.0,2.0,0.0,1.0,0.0,1.0,3
206,43,1.0,112878,1.0,0.0,0.0,1.0,0.0,1.0,0
207,26,0.0,103411,1.0,2.0,0.0,1.0,0.0,1.0,3
208,21,1.0,112868,0.0,0.0,0.0,1.0,1.0,0.0,4
209,55,1.0,157940,1.0,2.0,0.0,1.0,0.0,1.0,3
210,33,1.0,115835,1.0,2.0,0.0,1.0,0.0,1.0,3
211,45,2.0,109807,0.0,0.0,1.0,0.0,1.0,0.0,6
212,50,1.0,150699,1.0,1.0,0.0,1.0,0.0,1.0,3
213,66,2.0,178967,2.0,0.0,0.0,1.0,0.0,1.0,3
214,51,1.0,132767,1.0,0.0,0.0,1.0,0.0,1.0,0
215,39,2.0,86152,0.0,0.0,1.0,0.0,1.0,0.0,6
216,31,0.0,114528,1.0,2.0,0.0,1.0,0.0,1.0,3
217,23,0.0,133912,1.0,1.0,0.0,1.0,0.0,1.0,0
218,24,1.0,81210,0.0,0.0,0.0,1.0,1.0,0.0,4
219,64,3.0,131242,1.0,0.0,1.0,0.0,1.0,0.0,6
220,26,1.0,68804,0.0,0.0,0.0,1.0,1.0,0.0,4
221,23,1.0,96961,1.0,1.0,1.0,0.0,1.0,0.0,1
222,30,0.0,90719,1.0,2.0,0.0,1.0,0.0,1.0,3
223,32,0.0,114116,1.0,1.0,0.0,1.0,0.0,1.0,0
224,30,0.0,128639,1.0,1.0,0.0,1.0,0.0,1.0,0
225,27,0.0,106623,1.0,1.0,0.0,1.0,0.0,1.0,0
226,27,0.0,236264,1.0,1.0,0.0,1.0,0.0,1.0,3
227,53,1.0,207783,2.0,1.0,0.0,1.0,0.0,1.0,3
228,22,0.0,91739,1.0,1.0,0.0,1.0,0.0,1.0,0
229,22,0.0,107780,1.0,2.0,0.0,1.0,0.0,1.0,3
230,26,0.0,139157,1.0,2.0,0.0,1.0,0.0,1.0,3
231,51,1.0,121751,0.0,0.0,0.0,1.0,0.0,1.0,0
232,35,1.0,121974,1.0,0.0,0.0,1.0,0.0,1.0,0
233,25,1.0,70320,0.0,0.0,0.0,1.0,1.0,0.0,4
234,42,1.0,78327,0.0,0.0,0.0,1.0,0.0,1.0,0
235,30,0.0,131433,2.0,0.0,0.0,1.0,0.0,1.0,0
236,23,0.0,167076,0.0,2.0,0.0,1.0,0.0,1.0,3
237,61,2.0,130788,0.0,0.0,0.0,1.0,1.0,0.0,6
238,35,1.0,107408,1.0,1.0,1.0,0.0,1.0,0.0,1
239,39,1.0,115323,1.0,1.0,0.0,1.0,0.0,1.0,3
240,29,1.0,99012,1.0,0.0,1.0,0.0,1.0,0.0,1
241,51,1.0,115996,1.0,1.0,0.0,1.0,0.0,1.0,3
242,24,0.0,123353,1.0,1.0,0.0,1.0,0.0,1.0,0
243,27,1.0,100008,1.0,0.0,1.0,0.0,1.0,0.0,1
244,35,1.0,125105,0.0,0.0,1.0,0.0,1.0,0.0,1
245,25,0.0,92020,1.0,2.0,0.0,1.0,0.0,1.0,3
246,52,1.0,108365,1.0,2.0,0.0,1.0,0.0,1.0,3
247,35,1.0,112979,1.0,0.0,0.0,1.0,0.0,1.0,0
248,26,0.0,117221,1.0,1.0,0.0,1.0,0.0,1.0,0
249,22,1.0,88800,1.0,2.0,1.0,0.0,1.0,0.0,1
250,39,2.0,115099,0.0,0.0,1.0,0.0,1.0,0.0,6
251,46,2.0,113399,0.0,0.0,1.0,0.0,1.0,0.0,6
252,24,1.0,115879,1.0,1.0,1.0,0.0,1.0,0.0,1
253,35,1.0,141270,1.0,2.0,0.0,1.0,0.0,1.0,3
254,24,0.0,107633,1.0,1.0,0.0,1.0,0.0,1.0,0
255,27,0.0,131751,0.0,0.0,0.0,1.0,0.0,1.0,0
256,35,1.0,83687,0.0,0.0,0.0,1.0,0.0,1.0,0
257,29,1.0,106828,1.0,2.0,0.0,1.0,1.0,0.0,4
258,23,1.0,135537,1.0,1.0,1.0,0.0,1.0,0.0,1
259,57,2.0,107142,0.0,0.0,1.0,0.0,1.0,0.0,6
260,27,0.0,97446,1.0,1.0,0.0,1.0,0.0,1.0,0
261,55,2.0,126357,1.0,2.0,1.0,0.0,1.0,0.0,2
262,36,1.0,169617,2.0,1.0,0.0,1.0,0.0,1.0,3
263,57,2.0,108945,0.0,0.0,1.0,0.0,1.0,0.0,6
264,32,0.0,67345,0.0,0.0,0.0,1.0,0.0,1.0,0
265,37,1.0,106215,1.0,0.0,0.0,1.0,0.0,1.0,0
266,36,1.0,149237,1.0,0.0,0.0,1.0,0.0,1.0,0
267,38,1.0,112124,1.0,0.0,1.0,0.0,1.0,0.0,1
268,45,2.0,215150,2.0,2.0,0.0,1.0,1.0,0.0,2
269,25,0.0,89534,1.0,1.0,0.0,1.0,0.0,1.0,0
270,32,0.0,111082,1.0,2.0,0.0,1.0,0.0,1.0,3
271,37,1.0,137069,1.0,1.0,1.0,0.0,1.0,0.0,1
272,36,1.0,244541,2.0,2.0,0.0,1.0,0.0,1.0,3
273,28,0.0,120712,1.0,1.0,0.0,1.0,0.0,1.0,0
274,34,1.0,175367,0.0,0.0,0.0,1.0,1.0,0.0,4
275,32,0.0,111418,1.0,1.0,0.0,1.0,0.0,1.0,0
276,26,1.0,110913,1.0,0.0,1.0,0.0,1.0,0.0,1
277,49,2.0,84267,0.0,0.0,0.0,1.0,1.0,0.0,4
278,32,1.0,136886,1.0,2.0,1.0,0.0,1.0,0.0,1
279,29,0.0,144884,2.0,2.0,0.0,1.0,0.0,1.0,3
280,23,0.0,151180,1.0,1.0,0.0,1.0,0.0,1.0,0
281,50,1.0,114997,1.0,1.0,0.0,1.0,0.0,1.0,3
282,49,1.0,100961,0.0,0.0,0.0,1.0,0.0,1.0,0
283,63,2.0,124849,1.0,2.0,0.0,1.0,0.0,1.0,3
284,37,1.0,152308,1.0,2.0,0.0,1.0,1.0,0.0,4
285,35,1.0,167945,0.0,1.0,1.0,0.0,1.0,0.0,1
286,26,0.0,126706,1.0,2.0,0.0,1.0,0.0,1.0,3
287,31,0.0,210017,2.0,2.0,0.0,1.0,0.0,1.0,3
288,49,2.0,125665,1.0,1.0,1.0,0.0,1.0,0.0,6
289,48,2.0,111184,1.0,1.0,0.0,1.0,1.0,0.0,4
290,26,1.0,94134,1.0,0.0,0.0,1.0,1.0,0.0,4
291,28,1.0,214620,2.0,1.0,0.0,1.0,1.0,0.0,4
292,44,2.0,193816,2.0,1.0,1.0,0.0,1.0,0.0,2
293,56,1.0,168714,1.0,1.0,0.0,1.0,0.0,1.0,3
294,46,2.0,202997,2.0,1.0,0.0,1.0,1.0,0.0,2
295,26,1.0,192451,1.0,2.0,1.0,0.0,1.0,0.0,2
296,20,1.0,127928,1.0,2.0,1.0,0.0,1.0,0.0,1
297,45,1.0,78253,0.0,0.0,0.0,1.0,0.0,1.0,0
298,43,1.0,118446,1.0,1.0,0.0,1.0,0.0,1.0,3
299,32,0.0,161379,1.0,2.0,0.0,1.0,0.0,1.0,3
300,54,2.0,56622,0.0,0.0,1.0,0.0,1.0,0.0,6
301,42,2.0,146117,1.0,1.0,1.0,0.0,1.0,0.0,2
302,37,1.0,90418,0.0,0.0,0.0,1.0,0.0,1.0,0
303,49,1.0,109053,1.0,0.0,0.0,1.0,0.0,1.0,0
304,44,1.0,219319,1.0,0.0,0.0,1.0,0.0,1.0,3
305,33,1.0,144701,1.0,1.0,0.0,1.0,1.0,0.0,4
306,24,1.0,102425,0.0,0.0,1.0,0.0,1.0,0.0,1
307,33,1.0,79867,0.0,0.0,0.0,1.0,1.0,0.0,4
308,24,1.0,107114,1.0,2.0,1.0,0.0,1.0,0.0,1
309,22,1.0,62263,0.0,0.0,0.0,1.0,1.0,0.0,4
310,40,1.0,92567,0.0,0.0,0.0,1.0,0.0,1.0,0
311,25,0.0,146349,1.0,0.0,0.0,1.0,0.0,1.0,0
312,26,1.0,141825,1.0,1.0,1.0,0.0,1.0,0.0,1
313,25,1.0,68582,0.0,0.0,0.0,1.0,1.0,0.0,4
314,29,0.0,85476,0.0,0.0,0.0,1.0,0.0,1.0,0
315,31,0.0,111091,1.0,2.0,0.0,1.0,0.0,1.0,3
316,38,1.0,67110,0.0,0.0,0.0,1.0,0.0,1.0,0
317,48,2.0,126154,0.0,0.0,1.0,0.0,1.0,0.0,6
318,32,0.0,92257,1.0,2.0,0.0,1.0,0.0,1.0,3
319,27,1.0,93605,0.0,0.0,1.0,0.0,1.0,0.0,1
320,28,1.0,165190,2.0,0.0,0.0,1.0,1.0,0.0,4
321,32,1.0,107195,1.0,0.0,0.0,1.0,1.0,0.0,4
322,34,1.0,145059,2.0,0.0,0.0,1.0,0.0,1.0,3
323,28,0.0,148363,1.0,0.0,0.0,1.0,0.0,1.0,0
324,36,1.0,105681,1.0,2.0,1.0,0.0,1.0,0.0,1
325,39,1.0,93732,0.0,0.0,0.0,1.0,0.0,1.0,0
326,49,1.0,154778,1.0,2.0,0.0,1.0,0.0,1.0,3
327,34,1.0,149356,1.0,2.0,1.0,0.0,1.0,0.0,1
328,31,0.0,145670,1.0,1.0,0.0,1.0,0.0,1.0,3
329,28,0.0,101589,1.0,2.0,0.0,1.0,0.0,1.0,3
330,75,2.0,213333,2.0,1.0,0.0,1.0,0.0,1.0,3
331,30,1.0,122420,1.0,0.0,1.0,0.0,1.0,0.0,1
332,24,1.0,209856,2.0,1.0,1.0,0.0,1.0,0.0,2
333,24,1.0,181003,0.0,0.0,1.0,0.0,1.0,0.0,1
334,23,0.0,117804,1.0,1.0,0.0,1.0,0.0,1.0,0
335,44,2.0,160650,2.0,1.0,0.0,1.0,1.0,0.0,2
